922,987,51,678,9,66
2574,1022,201,1347,36,148
201853,22772,16520,15490,2611,13778
2347,13515,87,181,15,603
582,476,10,6,5,24
1649,109,32,34,7,85
1151,3380,30,43,14,285
64715,6566,4985,1815,259,3820
1899,275,11,24,3,106
23637,3813,276,1477,119,1964
44388,4151,376,618,113,1800
10072,2086,83,588,23,673
8613,2036,148,2284,111,604
392,1098,9,13,11,103
58384,4422,886,826,154,2860
1940,6910,50,83,8,362
1405,4860,66,401,59,432
1113,5798,30,77,8,257
2989,2172,11,34,4,381
6136,1702,39,360,45,608
1895,1073,9,24,5,159
4762,792,79,47,5,237
7811,1404,64,375,30,517
477,6679,13,19,4,190
4718,1010,19,108,9,459
367,255,3,10,5,50
1775,4178,36,52,6,253
