"","V1","V2","V3","V4","V5"
"237",790,210,5,155,11
"238",725,168,5,243,7
"239",619,183,12,196,3
"240",499,136,3,207,10
"241",299,98,0,131,2
"242",141,67,7,92,8
"243",116,39,0,44,5
"244",81,21,5,20,0
"245",40,27,3,8,0
"246",35,17,0,0,0
"247",13,16,0,0,0
"248",41,98,0,0,0
"249",41,93,0,0,1
"250",35,127,0,0,2
"251",41,132,0,0,0
"252",36,90,0,0,4
"253",30,71,0,0,0
"254",25,47,0,0,1
"255",33,46,0,7,1
"256",35,57,32,6,2
"257",61,68,0,16,0
"258",39,78,0,0,0
"259",36,56,0,0,0
"260",22,44,0,0,0
"261",17,38,0,0,0
"262",7,22,0,0,0
"263",0,19,0,0,0
"264",5,8,0,0,0
"265",0,4,0,0,0
"266",2,0,2,0,0
"267",4939,869,252,132,120
"268",5109,802,220,429,48
"269",5903,888,298,220,41
"270",5822,1023,223,242,49
"271",3571,845,180,302,23
"272",3564,574,138,124,25
"273",4252,437,143,118,38
"274",4840,479,137,124,27
"275",5740,551,97,185,16
"276",6323,624,151,184,23
"277",5808,486,154,175,47
"278",4449,268,95,69,0
"279",2850,172,40,60,15
"280",1911,87,25,45,0
"281",1227,82,32,11,0
"282",925,55,15,27,0
"283",538,18,12,19,0
"284",255,5,0,20,0
"285",37,99,4,4,0
"286",220,966,11,24,0
"287",226,814,6,4,0
"288",183,836,25,18,0
"289",185,828,18,5,20
"290",130,464,5,15,10
"291",131,409,5,7,0
"292",190,395,3,11,0
"293",190,348,5,5,0
"294",236,404,16,17,0
"295",242,414,6,7,0
"296",191,393,4,11,0
"297",161,327,0,0,0
"298",77,225,0,3,0
"299",44,154,0,8,0
"300",27,142,0,0,0
"301",15,102,0,0,0
"302",8,59,0,0,0
"303",4,35,0,0,0
"304",9,10,0,6,1
"305",147,637,32,58,6
"306",127,546,7,36,12
"307",131,559,9,24,15
"308",195,577,4,55,6
"309",139,348,11,22,5
"310",109,255,7,19,10
"311",107,225,5,25,2
"312",125,226,2,36,3
"313",173,346,6,42,5
"314",205,277,5,38,2
"315",163,245,11,42,2
"316",87,206,8,31,0
"317",21,180,4,18,0
"318",3,126,2,4,0
"319",11,88,0,2,0
"320",4,60,0,2,0
"321",0,35,0,0,0
"322",0,22,0,0,0
"323",4,8,0,0,0
"324",110,854,0,16,0
"325",81,776,0,9,0
"326",102,673,5,16,0
"327",149,780,0,5,0
"328",98,418,6,11,7
"329",100,333,19,7,0
"330",96,289,9,8,2
"331",113,288,7,8,0
"332",159,336,13,6,0
"333",157,271,5,14,0
"334",149,224,9,5,0
"335",82,225,11,0,0
"336",20,161,0,5,12
"337",20,126,0,2,0
"338",3,102,11,0,0
"339",34,66,0,0,0
"340",5,50,0,0,0
"341",0,16,0,0,0
"342",11,1,0,0,0
"343",168,178,0,4,0
"344",223,170,1,23,0
"345",279,220,16,20,0
"346",272,261,0,0,9
"347",128,200,0,1,0
"348",146,111,0,4,5
"349",167,96,7,19,0
"350",253,126,1,0,0
"351",288,173,0,3,4
"352",320,194,3,15,0
"353",393,170,0,3,0
"354",273,145,0,21,0
"355",181,127,0,4,0
"356",122,103,0,0,0
"357",61,70,0,0,0
"358",31,53,0,0,0
"359",26,26,0,0,0
"360",6,15,0,0,0
"361",10,0,0,1,0
"362",404,185,13,52,8
"363",443,175,16,29,8
"364",480,189,30,41,4
"365",502,180,10,37,3
"366",318,156,4,17,0
"367",401,132,9,25,2
"368",430,135,8,30,11
"369",448,132,6,29,3
"370",578,156,10,32,3
"371",645,153,0,43,0
"372",583,147,0,43,2
"373",494,155,3,33,2
"374",267,118,5,27,0
"375",268,78,0,21,4
"376",143,50,7,29,0
"377",113,41,0,7,0
