5862,1026,217,234,54
3607,841,172,309,24
3519,573,137,119,25
4180,421,142,109,38
4860,491,142,124,30
5708,557,106,183,16
6382,637,160,184,25
5836,489,162,173,42
4415,256,99,70,0
2838,163,41,59,15
1922,84,25,45,0
1220,81,33,11,0
928,53,15,27,0
535,18,12,19,0
255,5,0,20,0
39,107,5,4,0
217,968,11,24,0
218,786,5,4,0
183,834,25,18,0
192,859,18,5,19
129,456,5,15,9
129,409,5,7,0
190,389,3,10,0
189,355,5,5,0
237,414,18,17,0
238,414,6,7,0
187,386,4,11,0
170,333,0,0,0
79,222,0,3,0
46,155,0,8,0
27,140,0,0,0
16,102,0,0,0
8,60,0,0,0
4,34,0,0,0
9,10,0,6,3
143,633,31,58,6
118,510,6,35,9
133,567,9,24,15
203,602,4,55,7
141,351,11,23,5
104,247,7,18,10
109,226,5,24,2
124,230,2,36,3
172,350,6,42,5
204,281,5,38,2
166,250,12,42,2
90,205,9,33,0
22,177,4,18,0
3,125,2,4,0
12,92,0,2,0
4,58,0,2,0
0,33,0,0,0
0,22,0,0,0
4,7,0,0,0
104,829,0,16,0
76,737,0,9,0
103,685,5,16,0
150,793,0,5,0
96,410,5,11,7
100,339,18,7,0
97,289,9,8,2
111,292,7,8,0
160,349,14,6,0
155,274,5,14,0
147,224,9,5,0
84,225,11,0,0
21,164,0,5,12
21,125,0,2,0
3,102,11,0,0
45,84,0,0,0
5,50,0,0,0
0,16,0,0,0
11,1,0,0,0
154,168,0,4,0
208,160,1,22,0
290,230,16,20,0
268,260,0,0,9
125,195,0,1,0
145,113,0,4,5
173,99,7,18,0
257,132,1,0,0
283,175,0,3,4
328,204,3,15,0
385,169,0,3,0
295,153,0,23,0
180,122,0,4,0
125,102,0,0,0
61,70,0,0,0
30,51,0,0,0
24,24,0,0,0
5,11,0,0,0
12,0,0,1,0
393,184,12,52,9
420,167,14,29,7
493,195,30,41,4
490,176,9,35,3
306,149,4,17,0
402,135,9,25,2
435,135,8,29,12
447,135,6,29,4
593,164,11,33,3
639,155,0,42,0
593,151,0,43,2
493,150,3,34,2
278,118,5,28,0
271,76,0,21,3
147,52,8,30,0
114,40,0,7,0
98,38,0,0,0
50,15,0,0,0
43,7,2,0,0
87,64,0,0,0
81,65,0,1,0
98,98,6,12,0
111,118,0,13,2
79,56,3,9,2
101,52,0,2,0
121,53,0,6,0
141,63,0,1,2
153,83,0,6,1
208,88,13,0,1
245,111,0,6,0
205,89,0,37,0
133,51,0,0,0
109,41,0,0,0
46,24,0,0,0
24,19,0,0,0
25,12,0,0,0
16,6,0,0,0
10,1,6,0,0
472,91,21,2,17
491,40,20,0,0
509,118,17,3,0
509,174,30,31,8
250,74,21,6,9
256,62,41,3,0
321,44,11,2,0
395,47,6,0,0
368,113,10,7,0
518,62,5,5,0
489,70,9,16,0
394,52,8,13,0
277,32,0,0,0
236,18,0,6,0
117,27,4,0,0
73,23,0,4,0
49,11,0,0,0
11,3,0,0,0
14,1,0,1,0
466,130,21,47,6
536,150,5,38,3
639,176,16,33,9
719,159,7,26,19
325,101,2,31,2
314,90,4,26,2
416,73,5,19,1
568,86,2,29,13
703,153,44,41,0
839,158,8,49,0
861,150,7,43,0
667,95,5,31,0
385,79,0,19,0
237,47,0,20,0
124,52,0,9,0
94,24,0,0,0
65,14,0,4,0
39,9,0,0,0
3,29,0,0,0
26,1009,0,0,0
147,930,12,20,0
88,915,0,0,0
66,857,0,0,0
59,481,0,0,0
38,330,0,0,0
42,365,0,0,0
49,360,9,19,0
61,359,0,17,0
66,338,0,0,14
82,208,17,0,0
38,213,0,0,0
19,154,14,0,0
4,123,0,0,0
0,131,0,0,0
4,71,0,0,0
0,59,0,0,0
0,22,0,0,0
9,0,0,0,0
254,96,3,12,0
316,98,7,14,0
356,94,12,26,2
403,191,0,39,8
197,87,7,16,0
181,57,2,9,4
246,50,13,10,3
307,61,1,6,2
384,83,5,13,0
486,103,0,16,4
517,95,0,17,0
418,87,0,12,0
323,52,0,6,0
225,35,0,2,0
122,33,0,15,0
114,19,0,11,0
96,15,0,0,0
53,4,0,0,0
27,11,0,0,2
26,26,0,0,0
13,20,0,0,0
21,44,0,1,0
18,26,0,4,0
27,19,0,0,2
21,12,2,0,0
31,12,0,0,0
