120,25,0,17,0,4
66,10,0,15,0,0
43,3,1,9,0,1
655,184,13,172,13,82
704,186,16,195,4,74
718,184,15,222,15,82
701,165,6,177,8,76
389,128,5,105,9,43
487,109,11,98,11,23
690,92,19,105,11,27
793,133,15,150,6,21
762,184,6,148,9,25
694,156,4,220,6,39
592,155,13,185,2,33
479,116,3,200,3,30
284,80,0,131,3,14
139,61,7,92,3,4
111,37,0,44,6,4
74,18,5,18,0,9
39,21,3,7,0,3
30,13,0,0,0,7
12,14,0,0,0,2
21,83,0,0,0,19
22,81,0,0,1,12
21,116,0,0,2,9
26,121,0,0,0,16
21,83,0,0,5,8
23,66,0,0,0,4
20,44,0,0,1,4
27,47,0,4,1,2
38,70,10,4,2,1
57,68,0,8,0,9
33,71,0,0,0,5
31,53,0,0,0,4
17,39,0,0,0,8
12,38,0,0,0,0
7,22,0,0,0,0
0,19,0,0,0,0
5,8,0,0,0,0
0,4,0,0,0,0
3,0,1,0,0,0
4451,508,80,43,27,588
4789,461,85,82,19,452
5518,541,119,71,19,448
5528,650,132,81,22,412
3452,583,117,135,13,272
3402,431,109,78,14,142
4059,316,112,72,20,166
4712,336,119,79,21,132
5566,382,85,119,14,192
6235,404,116,143,14,176
5730,343,127,136,25,154
4343,188,77,57,0,119
2780,105,36,45,21,75
1876,55,24,34,0,26
1205,54,32,11,0,33
912,35,14,27,0,9
532,16,12,14,0,7
254,4,0,20,0,0
39,90,5,4,0,5
136,912,3,13,0,68
147,737,2,4,0,68
121,774,9,8,0,64
127,806,7,2,6,29
105,443,5,8,3,29
109,387,4,7,0,11
170,378,3,8,0,16
169,341,5,5,0,11
218,397,13,10,0,10
227,402,6,7,0,14
175,373,4,10,0,24
151,315,0,0,0,6
76,218,0,3,0,5
41,154,0,3,0,5
23,135,0,0,0,6
13,98,0,0,0,2
7,59,0,0,0,0
4,34,0,0,0,0
9,10,0,6,1,1
79,561,5,39,4,89
64,460,3,20,5,81
63,501,2,14,11,55
108,554,3,42,6,51
101,328,6,21,5,24
92,234,7,14,9,19
92,211,5,17,2,11
111,221,2,29,2,12
153,328,4,39,4,18
183,264,6,35,3,16
155,234,11,39,2,8
87,198,8,31,0,4
21,176,3,16,0,4
2,122,2,4,0,3
4,89,0,2,0,4
2,56,0,2,0,4
0,32,0,0,0,0
0,22,0,0,0,0
4,7,0,0,0,1
50,767,0,13,0,67
38,700,0,7,0,45
48,660,2,7,0,32
88,776,0,2,0,24
78,403,2,5,3,24
84,326,8,5,0,11
86,281,3,8,1,10
99,285,3,6,0,11
143,336,4,5,0,6
151,271,2,11,0,6
145,220,4,5,0,9
81,221,5,0,0,5
20,163,0,5,5,2
19,124,0,2,0,2
3,101,5,0,0,6
15,81,0,0,0,0
5,50,0,0,0,0
0,16,0,0,0,0
11,1,0,0,0,0
123,138,0,1,0,44
162,131,1,2,0,62
218,170,2,3,0,57
217,207,0,0,2,48
105,166,0,1,0,21
128,103,0,1,1,13
158,87,5,4,0,14
232,115,1,0,0,9
265,159,0,3,1,20
302,178,2,9,0,14
363,156,0,3,0,28
273,133,0,7,0,6
172,117,0,4,0,13
112,93,0,0,0,10
54,63,0,0,0,7
27,48,0,0,0,5
21,22,0,0,0,6
4,9,0,0,0,6
9,0,0,1,0,0
319,118,1,25,7,89
347,109,1,21,6,83
406,128,4,22,4,71
422,127,3,24,3,71
270,109,4,11,0,47
366,102,4,14,2,29
403,109,3,20,6,30
412,109,4,23,4,30
542,124,7,26,3,22
609,130,0,38,0,34
561,120,0,34,2,26
470,127,3,29,3,35
255,97,5,22,0,15
251,68,0,16,4,14
137,43,7,26,0,8
108,35,0,6,0,6
94,33,0,0,0,0
49,15,0,0,0,0
42,7,2,0,0,1
76,56,0,0,0,11
72,58,0,1,0,17
81,83,2,2,0,23
92,102,0,3,1,16
71,51,1,3,1,3
98,50,0,1,0,5
114,51,0,1,0,10
128,55,0,1,1,5
145,76,0,1,1,7
199,82,4,0,1,15
229,95,0,4,0,18
192,80,0,13,0,11
124,47,0,0,0,10
100,36,0,0,0,2
44,23,0,0,0,2
23,18,0,0,0,0
25,12,0,0,0,0
16,6,0,0,0,0
10,1,2,0,0,0
427,85,13,1,4,41
450,32,14,0,0,42
462,67,13,2,0,57
450,114,29,6,7,17
239,70,20,5,5,22
240,56,34,2,0,10
304,39,10,1,0,13
373,39,5,0,0,12
349,88,9,6,0,15
492,54,5,4,0,14
470,60,9,14,0,11
381,47,8,11,0,5
269,30,0,0,0,6
227,16,0,5,0,4
113,23,4,0,0,0
72,24,0,4,0,4
46,10,0,0,0,0
11,3,0,0,0,0
14,1,0,1,0,1
390,88,7,25,5,70
472,103,3,23,3,70
563,126,7,20,3,63
651,120,7,19,7,33
310,85,2,23,3,35
294,70,5,20,3,17
390,60,6,17,1,22
