"","V1","V2","V3","V4","V5","V6"
"917",90,35,5,5,0,23
"918",88,21,1,3,1,7
"919",117,19,3,3,1,4
"920",142,26,1,3,1,11
"921",173,24,0,3,0,7
"922",237,40,0,4,1,9
"923",250,45,0,6,0,17
"924",227,26,0,3,0,13
"925",168,17,0,1,0,7
"926",115,16,0,1,0,5
"927",76,7,0,2,0,4
"928",60,7,0,3,0,4
"929",41,7,0,0,0,0
"930",16,1,0,0,0,2
"931",13,0,0,0,0,2
"932",96,34,1,2,0,26
"933",113,26,0,2,0,20
"934",150,27,0,4,1,31
"935",162,60,0,7,0,25
"936",87,31,1,4,0,9
"937",74,21,1,3,1,4
"938",112,22,1,3,0,9
"939",141,21,0,3,0,7
"940",181,34,1,5,0,9
"941",222,40,0,6,1,13
"942",239,31,0,7,0,16
"943",166,40,0,4,0,13
"944",131,23,0,2,0,9
"945",92,11,0,1,0,6
"946",38,17,0,2,0,2
"947",48,9,0,3,0,4
"948",48,4,0,0,0,3
"949",34,3,0,0,0,1
"950",13,10,0,0,1,2
"951",9,13,0,0,0,2
"952",7,10,0,0,0,2
"953",5,19,0,1,0,3
"954",7,10,0,0,0,6
"955",10,9,0,0,1,1
"956",6,5,1,0,0,1
"957",18,3,0,0,0,0
"958",15,7,1,0,0,0
"959",18,9,0,0,0,1
"960",20,7,0,0,0,3
"961",37,4,0,0,0,1
"962",18,4,0,2,0,0
"963",15,2,0,0,1,0
"964",12,5,0,0,0,0
"965",1,0,0,0,0,0
"966",0,5,0,0,0,0
"967",0,1,1,0,0,0
"968",0,0,0,0,0,0
"969",0,0,0,0,0,0
"970",7,8,0,0,0,1
"971",5,8,0,0,0,3
"972",10,17,0,0,0,2
"973",7,14,0,1,0,9
"974",5,5,0,0,0,1
"975",13,6,0,0,0,1
"976",9,7,0,0,0,1
"977",13,10,0,0,0,1
"978",11,7,0,0,0,1
"979",14,5,0,1,1,3
"980",15,9,0,1,0,2
"981",10,10,0,2,0,0
"982",7,4,0,0,1,1
"983",3,5,0,0,0,0
"984",3,3,0,0,0,0
"985",0,8,0,0,0,0
"986",1,0,0,1,1,1
"987",0,0,0,0,0,0
"988",0,0,0,0,0,0
"989",42,129,0,1,0,17
"990",42,156,4,1,0,18
"991",42,182,0,3,4,12
"992",55,245,0,3,0,16
"993",30,135,0,1,0,14
"994",47,134,0,0,0,6
"995",48,114,0,1,0,8
"996",44,89,3,1,2,4
"997",77,158,2,0,0,11
"998",103,143,6,2,0,11
"999",140,132,0,0,0,7
"1000",94,108,16,1,0,6
"1001",63,99,0,1,0,4
"1002",42,68,0,0,0,7
"1003",27,49,0,0,0,0
"1004",12,47,0,0,0,0
"1005",11,25,0,0,0,1
"1006",2,10,0,0,0,0
"1007",4,9,0,1,0,0
"1008",33,134,0,3,0,12
"1009",54,152,0,2,0,12
"1010",47,166,0,5,0,16
"1011",54,208,0,4,0,11
"1012",44,113,0,3,0,2
"1013",46,91,0,0,0,3
"1014",42,98,0,1,0,4
"1015",52,90,0,2,0,4
"1016",61,132,7,0,0,2
"1017",98,133,0,5,0,9
"1018",78,123,0,0,0,4
"1019",87,103,0,4,0,5
"1020",41,67,0,3,0,2
"1021",11,55,0,0,0,3
"1022",9,52,0,0,0,0
"1023",4,46,0,0,0,0
"1024",2,19,0,0,0,4
"1025",5,13,0,0,0,0
"1026",8,0,0,4,0,1
